46,58,36,122,454
57,63,38,371,458
60,125,181,33,260
219,170,113,141,343
50,122,187,111,224
41,120,188,48,200
31,115,187,26,149
72,132,183,455,364
31,113,185,92,126
125,79,44,351,283
38,116,184,421,140
231,188,136,263,228
46,116,180,314,150
13,106,180,81,31
9,104,178,20,53
22,110,182,40,92
109,73,48,235,161
49,123,187,474,227
18,108,180,337,23
18,108,181,207,29
40,116,183,144,145
21,109,181,119,68
30,111,181,182,78
20,108,181,260,31
19,109,182,429,32
26,112,184,483,78
13,106,180,148,21
29,111,183,367,80
4,99,173,30,15
31,111,182,292,78
